[Name],,,,
Plane 1,,,,
,,,,
[Data],,,,
X [ m ], Y [ m ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Pressure [ Pa ]
-1.44E+00,-8.51E-01,8.26E-02, 1.70035710e-05, 7.21941292e-02
-1.44E+00,-8.81E-01,6.71E-02, 2.22553035e-06, 7.21921697e-02
-1.44E+00,-9.11E-01,5.11E-02,-8.30E-06, 7.21887946e-02
-1.41E+00,-7.32E-01,1.39E-01, 1.58980518e-04, 7.20040947e-02
-1.41E+00,-7.62E-01,1.26E-01, 1.21994053e-04, 7.20105767e-02
-1.41E+00,-7.92E-01,1.12E-01, 8.86804337e-05, 7.20142424e-02
-1.41E+00,-8.21E-01,9.75E-02, 5.92405195e-05, 7.20157400e-02
-1.41E+00,-8.51E-01,8.25E-02, 3.40906627e-05, 7.20155239e-02
-1.41E+00,-8.81E-01,6.70E-02, 1.39005297e-05, 7.20140114e-02
-1.41E+00,-9.11E-01,5.11E-02, 6.04924253e-08, 7.20114335e-02
-1.38E+00,-9.11E-01,5.10E-02, 1.09617604e-05, 7.18328580e-02
-1.35E+00,-9.11E-01,5.10E-02, 2.21134978e-05, 7.16543645e-02
-1.32E+00,-9.11E-01,5.11E-02, 3.30275507e-05, 7.14751482e-02
-1.29E+00,-9.10E-01,5.12E-02, 4.19643111e-05, 7.12961704e-02
-1.26E+00,-9.10E-01,5.12E-02, 4.90343809e-05, 7.11172074e-02
-1.23E+00,-9.10E-01,5.12E-02, 5.47378695e-05, 7.09386766e-02
-1.20E+00,-9.10E-01,5.12E-02, 5.79922453e-05, 7.07610101e-02
-1.17E+00,-9.10E-01,5.12E-02, 5.89395531e-05, 7.05834925e-02
-1.14E+00,-9.10E-01,5.13E-02, 5.79241059e-05, 7.04041421e-02
-1.11E+00,-9.10E-01,5.13E-02, 5.40649817e-05, 7.02258721e-02
-1.08E+00,-9.10E-01,5.13E-02, 4.72326283e-05, 7.00486749e-02
-1.05E+00,-9.10E-01,5.12E-02, 3.75698328e-05, 6.98731020e-02
-1.02E+00,-9.10E-01,5.12E-02, 2.48501237e-05, 6.96974322e-02
-9.89E-01,-9.10E-01,5.11E-02, 9.07003505e-06, 6.95224181e-02
-1.38E+00,-8.81E-01,6.70E-02, 2.86973282e-05, 7.18348324e-02
-1.35E+00,-8.81E-01,6.69E-02, 4.44021898e-05, 7.16564432e-02
-1.32E+00,-8.81E-01,6.70E-02, 5.97806284e-05, 7.14770257e-02
-1.29E+00,-8.81E-01,6.70E-02, 7.28694213e-05, 7.12976083e-02
-1.26E+00,-8.81E-01,6.70E-02, 8.34156090e-05, 7.11186826e-02
-1.23E+00,-8.81E-01,6.70E-02, 9.20973107e-05, 7.09398240e-02
-1.20E+00,-8.80E-01,6.71E-02, 9.77707750e-05, 7.07629025e-02
-1.17E+00,-8.80E-01,6.72E-02, 9.96631643e-05, 7.05856681e-02
-1.14E+00,-8.80E-01,6.72E-02, 9.79939505e-05, 7.04073533e-02
-1.11E+00,-8.80E-01,6.72E-02, 9.21217143e-05, 7.02292025e-02
-1.08E+00,-8.80E-01,6.72E-02, 8.14701998e-05, 7.00510442e-02
-1.05E+00,-8.80E-01,6.72E-02, 6.57348428e-05, 6.98739365e-02
-1.02E+00,-8.80E-01,6.71E-02, 4.48589635e-05, 6.96982220e-02
-9.89E-01,-8.80E-01,6.70E-02, 1.90216069e-05, 6.95222095e-02
-1.38E+00,-7.32E-01,1.39E-01, 2.14655069e-04, 7.18260482e-02
-1.38E+00,-7.62E-01,1.26E-01, 1.66462080e-04, 7.18328655e-02
-1.38E+00,-7.92E-01,1.12E-01, 1.23630103e-04, 7.18358681e-02
-1.38E+00,-8.22E-01,9.74E-02, 8.58950807e-05, 7.18363300e-02
-1.38E+00,-8.51E-01,8.24E-02, 5.39639368e-05, 7.18359128e-02
-1.35E+00,-7.32E-01,1.39E-01, 2.68332544e-04, 7.16489404e-02
-1.35E+00,-7.62E-01,1.26E-01, 2.09774909e-04, 7.16557801e-02
-1.35E+00,-7.92E-01,1.12E-01, 1.58137584e-04, 7.16588572e-02
-1.35E+00,-8.22E-01,9.73E-02, 1.12860645e-04, 7.16590732e-02
-1.35E+00,-8.52E-01,8.24E-02, 7.47650993e-05, 7.16581717e-02
-1.32E+00,-8.51E-01,8.23E-02, 9.48644301e-05, 7.14780837e-02
-1.29E+00,-8.52E-01,8.23E-02, 1.12579917e-04, 7.12979287e-02
-1.26E+00,-8.51E-01,8.23E-02, 1.27483290e-04, 7.11194798e-02
-1.23E+00,-8.51E-01,8.23E-02, 1.39775060e-04, 7.09407553e-02
-1.20E+00,-8.51E-01,8.24E-02, 1.48105129e-04, 7.07641095e-02
-1.17E+00,-8.50E-01,8.25E-02, 1.51198255e-04, 7.05878362e-02
-1.14E+00,-8.50E-01,8.26E-02, 1.49127489e-04, 7.04106763e-02
-1.11E+00,-8.50E-01,8.26E-02, 1.41155731e-04, 7.02334642e-02
-1.08E+00,-8.50E-01,8.26E-02, 1.26073704e-04, 7.00544640e-02
-1.05E+00,-8.50E-01,8.25E-02, 1.03564205e-04, 6.98758587e-02
-1.02E+00,-8.50E-01,8.24E-02, 7.37810624e-05, 6.96998835e-02
-9.88E-01,-8.50E-01,8.24E-02, 3.64537846e-05, 6.95236921e-02
-1.32E+00,-7.32E-01,1.39E-01, 3.18495906e-04, 7.14712664e-02
-1.32E+00,-7.62E-01,1.25E-01, 2.50492740e-04, 7.14771450e-02
-1.32E+00,-7.92E-01,1.12E-01, 1.90603925e-04, 7.14791119e-02
-1.32E+00,-8.22E-01,9.72E-02, 1.38577656e-04, 7.14787766e-02
-1.29E+00,-8.22E-01,9.71E-02, 1.61834265e-04, 7.12986514e-02
-1.26E+00,-8.22E-01,9.71E-02, 1.81685144e-04, 7.11203068e-02
-1.23E+00,-8.22E-01,9.71E-02, 1.97801433e-04, 7.09420443e-02
-1.20E+00,-8.21E-01,9.72E-02, 2.08896934e-04, 7.07649291e-02
-1.17E+00,-8.21E-01,9.73E-02, 2.13692241e-04, 7.05893859e-02
-1.14E+00,-8.21E-01,9.74E-02, 2.11764898e-04, 7.04136118e-02
-1.11E+00,-8.20E-01,9.74E-02, 2.01854709e-04, 7.02374354e-02
-1.08E+00,-8.20E-01,9.74E-02, 1.82410775e-04, 7.00581297e-02
-1.05E+00,-8.20E-01,9.73E-02, 1.53323112e-04, 6.98796436e-02
-1.02E+00,-8.20E-01,9.72E-02, 1.14536830e-04, 6.97033033e-02
-9.88E-01,-8.20E-01,9.72E-02, 6.50909205e-05, 6.95276037e-02
-1.29E+00,-7.33E-01,1.39E-01, 3.63947009e-04, 7.12943748e-02
-1.29E+00,-7.62E-01,1.25E-01, 2.87398841e-04, 7.12989271e-02
-1.29E+00,-7.92E-01,1.11E-01, 2.20013375e-04, 7.12997317e-02
-1.26E+00,-7.92E-01,1.11E-01, 2.45482195e-04, 7.11211637e-02
-1.23E+00,-7.92E-01,1.11E-01, 2.66438990e-04, 7.09430873e-02
-1.20E+00,-7.92E-01,1.11E-01, 2.81235116e-04, 7.07660317e-02
-1.17E+00,-7.91E-01,1.12E-01, 2.88388372e-04, 7.05906227e-02
-1.14E+00,-7.91E-01,1.12E-01, 2.87023460e-04, 7.04159290e-02
-1.11E+00,-7.91E-01,1.12E-01, 2.75632163e-04, 7.02408999e-02
-1.08E+00,-7.91E-01,1.12E-01, 2.52710131e-04, 7.00630471e-02
-1.05E+00,-7.91E-01,1.12E-01, 2.17754685e-04, 6.98859021e-02
-1.02E+00,-7.90E-01,1.12E-01, 1.70064712e-04, 6.97098002e-02
-9.88E-01,-7.90E-01,1.11E-01, 1.08629050e-04, 6.95348978e-02
-1.26E+00,-7.33E-01,1.38E-01, 4.03725076e-04, 7.11177289e-02
-1.26E+00,-7.62E-01,1.25E-01, 3.19517334e-04, 7.11207315e-02
-1.23E+00,-7.62E-01,1.25E-01, 3.46083922e-04, 7.09437355e-02
-1.20E+00,-7.62E-01,1.25E-01, 3.65376880e-04, 7.07672760e-02
-1.17E+00,-7.62E-01,1.25E-01, 3.75746225e-04, 7.05921501e-02
-1.14E+00,-7.61E-01,1.25E-01, 3.75897362e-04, 7.04181045e-02
-1.11E+00,-7.61E-01,1.25E-01, 3.63757252e-04, 7.02443942e-02
